"txn_year","pr","u_count"
2023-01-01 00:00:00.000 +0300,467,2037
2023-01-01 00:00:00.000 +0300,51,1350
2022-01-01 00:00:00.000 +0300,171,302
2025-01-01 00:00:00.000 +0300,194,1045
2024-01-01 00:00:00.000 +0300,513,883
2024-01-01 00:00:00.000 +0300,527,139
2022-01-01 00:00:00.000 +0300,535,249
2024-01-01 00:00:00.000 +0300,598,28
2024-01-01 00:00:00.000 +0300,596,50
2024-01-01 00:00:00.000 +0300,560,1
2023-01-01 00:00:00.000 +0300,427,272
2024-01-01 00:00:00.000 +0300,532,78
2020-01-01 00:00:00.000 +0300,89,357
2025-01-01 00:00:00.000 +0300,105,101
2023-01-01 00:00:00.000 +0300,687,34
2023-01-01 00:00:00.000 +0300,573,121
2022-01-01 00:00:00.000 +0300,195,877
2024-01-01 00:00:00.000 +0300,631,1
2025-01-01 00:00:00.000 +0300,563,3
2023-01-01 00:00:00.000 +0300,144,208
2024-01-01 00:00:00.000 +0300,159,60
2022-01-01 00:00:00.000 +0300,312,57
2023-01-01 00:00:00.000 +0300,180,16
2023-01-01 00:00:00.000 +0300,492,139
2025-01-01 00:00:00.000 +0300,565,2
2023-01-01 00:00:00.000 +0300,572,105
2022-01-01 00:00:00.000 +0300,12,4398
2025-01-01 00:00:00.000 +0300,616,18
2020-01-01 00:00:00.000 +0300,60,2822
2023-01-01 00:00:00.000 +0300,639,8
2021-01-01 00:00:00.000 +0300,303,247
2022-01-01 00:00:00.000 +0300,428,5681
2020-01-01 00:00:00.000 +0300,528,49
2020-01-01 00:00:00.000 +0300,144,103
2024-01-01 00:00:00.000 +0300,233,851
2020-01-01 00:00:00.000 +0300,67,1067
2022-01-01 00:00:00.000 +0300,55,1668
2021-01-01 00:00:00.000 +0300,599,22
2021-01-01 00:00:00.000 +0300,119,91
2021-01-01 00:00:00.000 +0300,579,4
2025-01-01 00:00:00.000 +0300,192,481
2021-01-01 00:00:00.000 +0300,425,1
2024-01-01 00:00:00.000 +0300,262,500
2023-01-01 00:00:00.000 +0300,428,3432
2022-01-01 00:00:00.000 +0300,95,512
2025-01-01 00:00:00.000 +0300,537,16
2024-01-01 00:00:00.000 +0300,21,7700
2021-01-01 00:00:00.000 +0300,195,461
2021-01-01 00:00:00.000 +0300,316,64
2025-01-01 00:00:00.000 +0300,420,15
2021-01-01 00:00:00.000 +0300,21,14756
2021-01-01 00:00:00.000 +0300,310,995
2023-01-01 00:00:00.000 +0300,88,44
2024-01-01 00:00:00.000 +0300,741,247
2021-01-01 00:00:00.000 +0300,220,13610
2023-01-01 00:00:00.000 +0300,519,2
2021-01-01 00:00:00.000 +0300,526,925
2023-01-01 00:00:00.000 +0300,303,11
2025-01-01 00:00:00.000 +0300,551,5
2023-01-01 00:00:00.000 +0300,208,488
